run,method,baseline_type,run_stap,role,eval_score,label_mode,bundle_dir,score_file,T,H,W,prf_hz,Lt,tile_hw,tile_stride,diag_load,svd_energy_frac,alias_in_flow,alias_frac_in_flow,n_flow,n_bg,auc,fpr_min,thr@1e-04,tpr@1e-04,fpr@1e-04,thr@3e-04,tpr@3e-04,fpr@3e-04,thr@1e-03,tpr@1e-03,fpr@1e-03
simus_pymust_paper_alias_seed0,baseline_svd_similarity,svd_similarity,0,baseline,pd,flow_aliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_svd_similarity,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1280,11960,0.9525397157190636,8.361204013377926e-05,7711645.441649844,0.0375,0.00016722408026755852,5269845.976849949,0.09453125,0.00033444816053511704,2301421.7902499954,0.4515625,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_local_svd,local_svd,0,baseline,pd,flow_all,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_local_svd,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,3072,11960,0.8657417492988783,8.361204013377926e-05,4246092.77804935,0.1044921875,0.00016722408026755852,3267106.3113499978,0.1767578125,0.00033444816053511704,3087115.5387499947,0.1875,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_local_svd,local_svd,0,baseline,pd,flow_unaliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_local_svd,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1792,11960,0.8842578871536073,8.361204013377926e-05,4246092.77804935,0.14955357142857142,0.00016722408026755852,3267106.3113499978,0.22544642857142858,0.00033444816053511704,3087115.5387499947,0.23660714285714285,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_local_svd,local_svd,0,baseline,pd,flow_aliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_local_svd,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1280,11960,0.8398191563022576,8.361204013377926e-05,4246092.77804935,0.04140625,0.00016722408026755852,3267106.3113499978,0.10859375,0.00033444816053511704,3087115.5387499947,0.11875,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_rpca,rpca,0,baseline,pd,flow_all,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_rpca,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,3072,11960,0.9567006395014632,8.361204013377926e-05,12829238.053698305,0.09895833333333333,0.00016722408026755852,9278310.90999994,0.18359375,0.00033444816053511704,5841701.761499329,0.3828125,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_rpca,rpca,0,baseline,pd,flow_unaliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_rpca,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1792,11960,0.9481864072578237,8.361204013377926e-05,12829238.053698305,0.11997767857142858,0.00016722408026755852,9278310.90999994,0.20368303571428573,0.00033444816053511704,5841701.761499329,0.4095982142857143,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_rpca,rpca,0,baseline,pd,flow_aliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_rpca,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1280,11960,0.9686205646425585,8.361204013377926e-05,12829238.053698305,0.06953125,0.00016722408026755852,9278310.90999994,0.15546875,0.00033444816053511704,5841701.761499329,0.3453125,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_hosvd,hosvd,0,baseline,pd,flow_all,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_hosvd,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,3072,11960,0.9921613712374582,8.361204013377926e-05,1639454.625,0.23828125,0.00033444816053511704,1304520.5749499768,0.41796875,0.00033444816053511704,1019384.5206249917,0.609375,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_hosvd,hosvd,0,baseline,pd,flow_unaliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_hosvd,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1792,11960,0.9940402158982322,8.361204013377926e-05,1639454.625,0.28683035714285715,0.00033444816053511704,1304520.5749499768,0.4575892857142857,0.00033444816053511704,1019384.5206249917,0.6495535714285714,0.001003344481605351
simus_pymust_paper_alias_seed0,baseline_hosvd,hosvd,0,baseline,pd,flow_aliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_baseline_hosvd,score_pd_base.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1280,11960,0.9895309887123745,8.361204013377926e-05,1639454.625,0.1703125,0.00033444816053511704,1304520.5749499768,0.3625,0.00033444816053511704,1019384.5206249917,0.553125,0.001003344481605351
simus_pymust_paper_alias_seed0,stap,mc_svd,1,stap,pd,flow_all,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_stap,score_pd_stap.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,3072,11960,0.9063228883605072,8.361204013377926e-05,7766857.566799862,0.06770833333333333,0.00016722408026755852,5327386.302249948,0.13313802083333334,0.00033444816053511704,3195151.7914999644,0.2841796875,0.001003344481605351
simus_pymust_paper_alias_seed0,stap,mc_svd,1,stap,pd,flow_unaliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_stap,score_pd_stap.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1792,11960,0.9229693752239608,8.361204013377926e-05,7766857.566799862,0.10825892857142858,0.00016722408026755852,5327386.302249948,0.19642857142857142,0.00033444816053511704,3195151.7914999644,0.3705357142857143,0.001003344481605351
simus_pymust_paper_alias_seed0,stap,mc_svd,1,stap,pd,flow_aliased,runs/sim_eval/simus_baseline_compare_r2/simus_pymust_paper_alias_seed0/simus_pymust_paper_alias_seed0_stap,score_pd_stap.npy,64,128,128,1500.0,8,8x8,3,0.07,0.9,1280,0.4166666666666667,1280,11960,0.8830178067516723,8.361204013377926e-05,7766857.566799862,0.0109375,0.00016722408026755852,5327386.302249948,0.04453125,0.00033444816053511704,3195151.7914999644,0.16328125,0.001003344481605351
