case,simus_profile,tier,role,method_label,score_label,stap_profile,bundle_dir,motion_disp_rms_px,phase_rms_rad,n_h1_pf_main,n_h0_bg,n_h0_nuisance_pa,n_h1_alias_qc,auc_main_vs_bg,auc_main_vs_nuisance,fpr_floor_bg,fpr_floor_nuisance,thr@1e-04,tpr_main@1e-04,fpr_bg@1e-04,fpr_nuisance@1e-04,tpr_alias_qc@1e-04,thr@1e-03,tpr_main@1e-03,fpr_bg@1e-03,fpr_nuisance@1e-03,tpr_alias_qc@1e-03,thr_match_tpr@0p25,tpr_main_match@0p25,fpr_bg_match@0p25,fpr_nuisance_match@0p25,tpr_alias_qc_match@0p25,thr_match_tpr@0p5,tpr_main_match@0p5,fpr_bg_match@0p5,fpr_nuisance_match@0p5,tpr_alias_qc_match@0p5,thr_match_tpr@0p75,tpr_main_match@0p75,fpr_bg_match@0p75,fpr_nuisance_match@0p75,tpr_alias_qc_match@0p75
structv2,ClinIntraOp-Pf-Struct-v2,paper,baseline,MC-SVD,baseline_score,,runs/sim_eval/simus_stap_profile_sweep_seed21/structv2/structv2_Brain-SIMUS-Clin,0.0,0.0,426,12046,290,290,0.9823596791329637,0.6176299174356483,8.301510874979246e-05,0.0034482758620689655,9273818.59800001,0.7746478873239436,0.00016603021749958492,0.8379310344827586,0.8379310344827586,8716798.449999997,0.7816901408450704,0.001079196413747302,0.8551724137931035,0.8551724137931035,31681907.5,0.2511737089201878,0.0,0.013793103448275862,0.013793103448275862,17538650.0,0.5,0.0,0.2482758620689655,0.2482758620689655,10033768.5,0.7488262910798122,8.301510874979246e-05,0.7896551724137931,0.7896551724137931
structv2,ClinIntraOp-Pf-Struct-v2,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin],stap_detector,Brain-SIMUS-Clin,runs/sim_eval/simus_stap_profile_sweep_seed21/structv2/structv2_Brain-SIMUS-Clin,0.0,0.0,426,12046,290,290,0.9425679652100438,1.0,8.301510874979246e-05,0.0034482758620689655,10.345601328372958,0.07511737089201878,0.00016603021749958492,0.0,0.0,10.220888366699217,0.13615023474178403,0.001079196413747302,0.0,0.0,10.033639430999756,0.2511737089201878,0.003984725219990038,0.0,0.0,9.621371269226074,0.5,0.031130665781172174,0.0,0.0,8.966233491897583,0.7488262910798122,0.06989872156732525,0.0,0.0
structv2,ClinIntraOp-Pf-Struct-v2,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionWide-v0],stap_detector,Brain-SIMUS-Clin-MotionWide-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/structv2/structv2_Brain-SIMUS-Clin-MotionWide-v0,0.0,0.0,426,12046,290,290,0.9425679652100438,1.0,8.301510874979246e-05,0.0034482758620689655,10.345601328372958,0.07511737089201878,0.00016603021749958492,0.0,0.0,10.220888366699217,0.13615023474178403,0.001079196413747302,0.0,0.0,10.033639430999756,0.2511737089201878,0.003984725219990038,0.0,0.0,9.621371269226074,0.5,0.031130665781172174,0.0,0.0,8.966233491897583,0.7488262910798122,0.06989872156732525,0.0,0.0
structv2,ClinIntraOp-Pf-Struct-v2,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionShort-v0],stap_detector,Brain-SIMUS-Clin-MotionShort-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/structv2/structv2_Brain-SIMUS-Clin-MotionShort-v0,0.0,0.0,426,12046,290,290,0.9227545387438918,1.0,8.301510874979246e-05,0.0034482758620689655,11.778927554607398,0.03286384976525822,0.00016603021749958492,0.0,0.0,11.611974549293517,0.0892018779342723,0.001079196413747302,0.0,0.0,11.370391368865967,0.2511737089201878,0.008218495766229454,0.0,0.0,11.09688138961792,0.5,0.03569649676241076,0.0,0.0,10.7957444190979,0.7488262910798122,0.08899219657977751,0.0,0.0
structv2,ClinIntraOp-Pf-Struct-v2,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionLong-v0],stap_detector,Brain-SIMUS-Clin-MotionLong-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/structv2/structv2_Brain-SIMUS-Clin-MotionLong-v0,0.0,0.0,426,12046,290,290,0.9611711444158894,1.0,8.301510874979246e-05,0.0034482758620689655,7.822030259370825,0.19483568075117372,0.00016603021749958492,0.0,0.0,7.37647789955139,0.4413145539906103,0.001079196413747302,0.0,0.0,7.735639214515686,0.2511737089201878,0.00016603021749958492,0.0,0.0,7.303215742111206,0.5,0.0014942719574962643,0.0,0.0,6.449875473976135,0.7488262910798122,0.04723559687863191,0.0,0.0
structv2,ClinIntraOp-Pf-Struct-v2,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionRobust-v0],stap_detector,Brain-SIMUS-Clin-MotionRobust-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/structv2/structv2_Brain-SIMUS-Clin-MotionRobust-v0,0.0,0.0,426,12046,290,290,0.9326743570616237,1.0,8.301510874979246e-05,0.0034482758620689655,11.36836994028092,0.08215962441314555,0.00016603021749958492,0.0,0.0,11.190223155021668,0.20187793427230047,0.001079196413747302,0.0,0.0,11.110398054122925,0.2511737089201878,0.0025734683712435665,0.0,0.0,10.849631309509277,0.5,0.019342520338701645,0.0,0.0,10.553692102432251,0.7488262910798122,0.07504565830981239,0.0,0.0
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,baseline,MC-SVD,baseline_score,,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop025/intraop025_Brain-SIMUS-Clin,1.4349414110183716,0.15000000596046448,426,12046,290,290,0.626532759009088,0.04604176784847013,8.301510874979246e-05,0.0034482758620689655,133258554.46000257,0.0,0.00016603021749958492,0.0,0.0,54008908.87999994,0.0,0.001079196413747302,0.0,0.0,8995207.75,0.2511737089201878,0.1597210692346007,0.9896551724137931,0.9896551724137931,6255528.75,0.5,0.3303171177154242,1.0,1.0,4355240.875,0.7488262910798122,0.5414245392661464,1.0,1.0
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin],stap_detector,Brain-SIMUS-Clin,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop025/intraop025_Brain-SIMUS-Clin,1.4349414110183716,0.15000000596046448,426,12046,290,290,0.4970155483791008,0.41466731423020886,8.301510874979246e-05,0.0034482758620689655,1.633379385828973,0.0,0.00016603021749958492,0.0,0.0,1.5874979329109191,0.0,0.001079196413747302,0.0,0.0,1.3802508413791656,0.2511737089201878,0.24082683048314793,0.3482758620689655,0.3482758620689655,1.330786645412445,0.5,0.49975095467375064,0.6344827586206897,0.6344827586206897,1.2813197374343872,0.7488262910798122,0.7634899551718413,0.8310344827586207,0.8310344827586207
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionWide-v0],stap_detector,Brain-SIMUS-Clin-MotionWide-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop025/intraop025_Brain-SIMUS-Clin-MotionWide-v0,1.4349414110183716,0.15000000596046448,426,12046,290,290,0.4970155483791008,0.41466731423020886,8.301510874979246e-05,0.0034482758620689655,1.633379385828973,0.0,0.00016603021749958492,0.0,0.0,1.5874979329109191,0.0,0.001079196413747302,0.0,0.0,1.3802508413791656,0.2511737089201878,0.24082683048314793,0.3482758620689655,0.3482758620689655,1.330786645412445,0.5,0.49975095467375064,0.6344827586206897,0.6344827586206897,1.2813197374343872,0.7488262910798122,0.7634899551718413,0.8310344827586207,0.8310344827586207
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionShort-v0],stap_detector,Brain-SIMUS-Clin-MotionShort-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop025/intraop025_Brain-SIMUS-Clin-MotionShort-v0,1.4349414110183716,0.15000000596046448,426,12046,290,290,0.5983352937370752,0.5526145378015218,8.301510874979246e-05,0.0034482758620689655,3.9393649065494736,0.0,0.00016603021749958492,0.0,0.0,3.707620106935501,0.002347417840375587,0.001079196413747302,0.0,0.0,3.310664117336273,0.2511737089201878,0.1938402789307654,0.2206896551724138,0.2206896551724138,3.238965392112732,0.5,0.3602855719740993,0.4241379310344828,0.4241379310344828,3.162889003753662,0.7488262910798122,0.576788975593558,0.6551724137931034,0.6551724137931034
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionLong-v0],stap_detector,Brain-SIMUS-Clin-MotionLong-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop025/intraop025_Brain-SIMUS-Clin-MotionLong-v0,1.4349414110183716,0.15000000596046448,426,12046,290,290,0.42659389008799603,0.3553181155900923,8.301510874979246e-05,0.0034482758620689655,0.7281968999505055,0.0,0.00016603021749958492,0.0,0.0,0.6992434754967687,0.0,0.001079196413747302,0.0,0.0,0.6076786816120148,0.2511737089201878,0.3269965133654325,0.4206896551724138,0.4206896551724138,0.5906571447849274,0.5,0.6090818528972273,0.7206896551724138,0.7206896551724138,0.5762647539377213,0.7488262910798122,0.8160385190104599,0.8793103448275862,0.8793103448275862
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionRobust-v0],stap_detector,Brain-SIMUS-Clin-MotionRobust-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop025/intraop025_Brain-SIMUS-Clin-MotionRobust-v0,1.4349414110183716,0.15000000596046448,426,12046,290,290,0.5944849321731485,0.5434191355026712,8.301510874979246e-05,0.0034482758620689655,3.9133416217565737,0.0,0.00016603021749958492,0.0,0.0,3.671638089418411,0.002347417840375587,0.001079196413747302,0.0,0.0,3.2810792326927185,0.2511737089201878,0.20122862360949692,0.24482758620689654,0.24482758620689654,3.2101917266845703,0.5,0.3707454756765731,0.4586206896551724,0.4586206896551724,3.136466681957245,0.7488262910798122,0.5809397310310477,0.6655172413793103,0.6655172413793103
intraop05,ClinIntraOp-Pf-v1+motionx0p5_phasex0p5,paper,baseline,MC-SVD,baseline_score,,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop05/intraop05_Brain-SIMUS-Clin,1.4786229133605957,0.30000001192092896,426,12046,290,290,0.6093294366898719,0.03742917273757487,8.301510874979246e-05,0.0034482758620689655,138646531.66000104,0.0,0.00016603021749958492,0.0,0.0,78769347.99999978,0.0,0.001079196413747302,0.0,0.0,8228470.875,0.2511737089201878,0.18968952349327578,0.996551724137931,0.996551724137931,5734426.0,0.5,0.3529802424041176,1.0,1.0,3984450.0,0.7488262910798122,0.5689855553710775,1.0,1.0
intraop05,ClinIntraOp-Pf-v1+motionx0p5_phasex0p5,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin],stap_detector,Brain-SIMUS-Clin,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop05/intraop05_Brain-SIMUS-Clin,1.4786229133605957,0.30000001192092896,426,12046,290,290,0.4930334539195993,0.37501214181641573,8.301510874979246e-05,0.0034482758620689655,1.8302393142581213,0.0,0.00016603021749958492,0.0,0.0,1.6364812314510337,0.0,0.001079196413747302,0.0,0.0,1.3767842054367065,0.2511737089201878,0.24721899385688195,0.4379310344827586,0.4379310344827586,1.3286154866218567,0.5,0.5040677403287398,0.6655172413793103,0.6655172413793103,1.2788526713848114,0.7488262910798122,0.7658143782168355,0.8448275862068966,0.8448275862068966
intraop05,ClinIntraOp-Pf-v1+motionx0p5_phasex0p5,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionWide-v0],stap_detector,Brain-SIMUS-Clin-MotionWide-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop05/intraop05_Brain-SIMUS-Clin-MotionWide-v0,1.4786229133605957,0.30000001192092896,426,12046,290,290,0.4930334539195993,0.37501214181641573,8.301510874979246e-05,0.0034482758620689655,1.8302393142581213,0.0,0.00016603021749958492,0.0,0.0,1.6364812314510337,0.0,0.001079196413747302,0.0,0.0,1.3767842054367065,0.2511737089201878,0.24721899385688195,0.4379310344827586,0.4379310344827586,1.3286154866218567,0.5,0.5040677403287398,0.6655172413793103,0.6655172413793103,1.2788526713848114,0.7488262910798122,0.7658143782168355,0.8448275862068966,0.8448275862068966
intraop05,ClinIntraOp-Pf-v1+motionx0p5_phasex0p5,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionShort-v0],stap_detector,Brain-SIMUS-Clin-MotionShort-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop05/intraop05_Brain-SIMUS-Clin-MotionShort-v0,1.4786229133605957,0.30000001192092896,426,12046,290,290,0.5843028172911507,0.41172899465760077,8.301510874979246e-05,0.0034482758620689655,3.796323266029359,0.0,0.00016603021749958492,0.0,0.0,3.6754239892959593,0.002347417840375587,0.001079196413747302,0.0,0.0,3.274229109287262,0.2511737089201878,0.16984891250207537,0.3448275862068966,0.3448275862068966,3.1777031421661377,0.5,0.3832807570977918,0.6310344827586207,0.6310344827586207,3.0927416682243347,0.7488262910798122,0.6306657811721733,0.8172413793103448,0.8172413793103448
intraop05,ClinIntraOp-Pf-v1+motionx0p5_phasex0p5,paper,stap,MC-SVD -> STAP [Brain-SIMUS-Clin-MotionLong-v0],stap_detector,Brain-SIMUS-Clin-MotionLong-v0,runs/sim_eval/simus_stap_profile_sweep_seed21/intraop05/intraop05_Brain-SIMUS-Clin-MotionLong-v0,1.4786229133605957,0.30000001192092896,426,12046,290,290,0.45990886655925367,0.4749635745507528,8.301510874979246e-05,0.0034482758620689655,0.7136769065856947,0.0,0.00016603021749958492,0.0,0.0,0.6878387171030044,0.0,0.001079196413747302,0.0,0.0,0.6145651936531067,0.2511737089201878,0.297194089324257,0.25517241379310346,0.25517241379310346,0.5981464684009552,0.5,0.5674082683048315,0.5517241379310345,0.5517241379310345,0.5843657851219177,0.7488262910798122,0.78399468703304,0.803448275862069,0.803448275862069
