profile,motion_scale,pd_headline_label,vnext_headline_label,pd_score_file,vnext_score_file,pd_auc_main_vs_bg,vnext_auc_main_vs_bg,delta_auc_main_vs_bg,pd_auc_main_vs_nuisance,vnext_auc_main_vs_nuisance,delta_auc_main_vs_nuisance,pd_fpr_nuisance_match@0p5,vnext_fpr_nuisance_match@0p5,delta_fpr_nuisance_match@0p5
ClinIntraOp-Pf-v1,0.0,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.9484984788358242,0.9514061512246872,0.002907672388863025,0.3491905455722843,1.0,0.6508094544277157,0.8103448275862069,0.0,-0.8103448275862069
ClinIntraOp-Pf-v1,0.25,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.39850506548060294,0.4970155483791008,0.09851048289849784,0.045167557066537155,0.41466731423020886,0.3694997571636717,1.0,0.6344827586206897,-0.3655172413793103
ClinIntraOp-Pf-v1,0.5,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.3831537011097522,0.4930334539195993,0.10987975280984708,0.035332685769791164,0.37501214181641573,0.3396794560466246,1.0,0.6655172413793103,-0.33448275862068966
ClinIntraOp-Pf-v1,1.0,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.3640004006550788,0.46022475268902696,0.09622435203394814,0.03329286061194755,0.34398575360207223,0.3106928929901247,1.0,0.7137931034482758,-0.28620689655172415
ClinMobile-Pf-v1,0.0,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.9477312711289041,0.9559413874357997,0.00821011630689561,0.3425408774485996,1.0,0.6574591225514004,0.8390804597701149,0.0,-0.8390804597701149
ClinMobile-Pf-v1,0.25,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.33628387737460236,0.4957936088499562,0.15950973147535386,0.034509740434946846,0.4506097890022125,0.4161000485672656,1.0,0.5660919540229885,-0.4339080459770115
ClinMobile-Pf-v1,0.5,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.28063647255161944,0.4872900165952269,0.20665354404360747,0.028735632183908046,0.42556391991797526,0.3968282877340672,1.0,0.5747126436781609,-0.4252873563218391
ClinMobile-Pf-v1,1.0,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.22098933743030433,0.4647310505347654,0.24374171310446105,0.023231342075441152,0.4039447412444013,0.38071339916896013,1.0,0.6264367816091954,-0.37356321839080464
