bundle,profile,tier,motion_disp_rms_px,phase_rms_rad,bundle_dir,run_dir,candidate,n_h1_pf_main,n_h0_bg,n_h0_nuisance_pa,n_h1_alias_qc,auc_main_vs_bg,auc_main_vs_nuisance,fpr_floor_bg,fpr_floor_nuisance,thr@1e-04,tpr_main@1e-04,fpr_bg@1e-04,fpr_nuisance@1e-04,tpr_alias_qc@1e-04,thr@1e-03,tpr_main@1e-03,fpr_bg@1e-03,fpr_nuisance@1e-03,tpr_alias_qc@1e-03,thr_match_tpr@0p25,tpr_main_match@0p25,fpr_bg_match@0p25,fpr_nuisance_match@0p25,tpr_alias_qc_match@0p25,thr_match_tpr@0p5,tpr_main_match@0p5,fpr_bg_match@0p5,fpr_nuisance_match@0p5,tpr_alias_qc_match@0p5,thr_match_tpr@0p75,tpr_main_match@0p75,fpr_bg_match@0p75,fpr_nuisance_match@0p75,tpr_alias_qc_match@0p75,h1_median,h1_mean,bg_median,bg_mean,nuisance_median,nuisance_mean,corr_vs_score_stap_preka
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,band_suppression,426,12046,290,290,1.0,0.5904889104743403,8.301510874979246e-05,0.0034482758620689655,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4115850031375885,0.2511737089201878,0.0,0.16551724137931034,0.16551724137931034,0.40136751532554626,0.5,0.0,0.3689655172413793,0.3689655172413793,0.3927178680896759,0.7488262910798122,0.0,0.6379310344827587,0.6379310344827587,0.40136751532554626,0.4020419056426751,0.0,0.0,0.39644524455070496,0.39769965554105824,-0.0003616830797269913
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,inv_band_fraction,426,12046,290,290,1.0,0.5904889104743403,8.301510874979246e-05,0.0034482758620689655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6994807720184326,0.2511737089201878,0.0,0.16551724137931034,0.16551724137931034,1.6704739928245544,0.5,0.0,0.3689655172413793,0.3689655172413793,1.6466811001300812,0.7488262910798122,0.0,0.6379310344827587,0.6379310344827587,1.6704739928245544,1.6732185225531528,1.0,1.0,1.656850516796112,1.6611701065096363,-0.01226002020803357
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,neg_log_band_fraction,426,12046,290,290,1.0,0.5904889104743403,8.301510874979246e-05,0.0034482758620689655,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.5303228050470352,0.2511737089201878,0.0,0.16551724137931034,0.16551724137931034,0.513107419013977,0.5,0.0,0.3689655172413793,0.3689655172413793,0.4987617954611778,0.7488262910798122,0.0,0.6379310344827587,0.6379310344827587,0.513107419013977,0.5144914859477343,0.0,0.0,0.5049185156822205,0.5072603982070397,-0.0058064517701664035
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,score_x_neg_log_band_fraction,426,12046,290,290,1.0,0.44406669904484375,8.301510874979246e-05,0.0034482758620689655,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.6877181231975555,0.2511737089201878,0.0,0.2620689655172414,0.2620689655172414,0.6835169494152069,0.5,0.0,0.5758620689655173,0.5758620689655173,0.6789492815732956,0.7488262910798122,0.0,0.8206896551724138,0.8206896551724138,0.6835169494152069,0.6832701493876641,0.0,0.0,0.6849159300327301,0.6845791066515035,0.022085154524531882
simus_clinmobile_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinMobile-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/runs/simus_clinmobile_pf_v1_motionx0_phasex0_seed21,pd_stap,426,12046,348,348,0.9477312711289041,0.3425408774485996,8.301510874979246e-05,0.0028735632183908046,9064968.158000039,0.1807511737089202,0.00016603021749958492,0.20689655172413793,0.20689655172413793,8327368.214999995,0.21830985915492956,0.001079196413747302,0.27011494252873564,0.27011494252873564,7817710.5,0.2511737089201878,0.001992362609995019,0.33045977011494254,0.33045977011494254,4353497.0,0.5,0.03337207371741657,0.8390804597701149,0.8390804597701149,2408957.25,0.7488262910798122,0.06666113232608335,0.9482758620689655,0.9482758620689655,4353497.0,5818221.644201145,56680.126953125,575378.218300858,6540857.25,6888301.261494253,0.09451771870625794
simus_clinmobile_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinMobile-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/runs/simus_clinmobile_pf_v1_motionx0_phasex0_seed21,score_stap_preka,426,12046,348,348,0.9559413874357997,1.0,8.301510874979246e-05,0.0028735632183908046,9.041152853488923,0.25586854460093894,0.00016603021749958492,0.0,0.0,8.8386656999588,0.37089201877934275,0.001079196413747302,0.0,0.0,9.047436237335205,0.2511737089201878,8.301510874979246e-05,0.0,0.0,8.371001720428467,0.5,0.006807238917482982,0.0,0.0,7.041794419288635,0.7488262910798122,0.060933089822347665,0.0,0.0,8.371001720428467,7.90270434690753,2.160606026649475,2.984479588838228,0.8916557729244232,0.9553376934651671,0.9999999999999998
simus_clinmobile_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinMobile-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/runs/simus_clinmobile_pf_v1_motionx0_phasex0_seed21,band_fraction,426,12046,348,348,0.0,1.0,8.301510874979246e-05,0.0028735632183908046,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9445539861917496,0.2511737089201878,1.0,0.0,0.0,0.9368098676204681,0.5,1.0,0.0,0.0,0.9154670387506485,0.7488262910798122,1.0,0.0,0.0,0.9368098676204681,0.9214793825653237,1.0,1.0,0.4871598929166794,0.4952825687226208,0.26581450287514546
simus_clinmobile_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinMobile-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/runs/simus_clinmobile_pf_v1_motionx0_phasex0_seed21,band_suppression,426,12046,348,348,1.0,0.0,8.301510874979246e-05,0.0028735632183908046,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0845329612493515,0.2511737089201878,0.0,1.0,1.0,0.06319013237953186,0.5,0.0,1.0,1.0,0.05544601380825043,0.7488262910798122,0.0,1.0,1.0,0.06319013237953186,0.07852061743467627,0.0,0.0,0.5128400921821594,0.5047174298215187,-0.26581450284633007
simus_clinmobile_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinMobile-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/runs/simus_clinmobile_pf_v1_motionx0_phasex0_seed21,inv_band_fraction,426,12046,348,348,1.0,0.0,8.301510874979246e-05,0.0028735632183908046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.092338740825653,0.2511737089201878,0.0,1.0,1.0,1.0674524903297424,0.5,0.0,1.0,1.0,1.0587007701396942,0.7488262910798122,0.0,1.0,1.0,1.0674524903297424,1.0876310308214645,1.0,1.0,2.052715301513672,2.0414964385416314,-0.2908727048963751
simus_clinmobile_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinMobile-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinmobile_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_mobile_paper_seed21/runs/simus_clinmobile_pf_v1_motionx0_phasex0_seed21,neg_log_band_fraction,426,12046,348,348,1.0,0.0,8.301510874979246e-05,0.0028735632183908046,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.08832096867263317,0.2511737089201878,0.0,1.0,1.0,0.0652749352157116,0.5,0.0,1.0,1.0,0.05704243294894695,0.7488262910798122,0.0,1.0,1.0,0.0652749352157116,0.08283151530533889,0.0,0.0,0.719163179397583,0.7082240268930622,-0.280003784801463
