tau_g,multiplier,open_skull_tpr_1e4,open_skull_tpr_1e4_promote_frac,structured_clutter_tpr_1e4,structured_clutter_tpr_1e4_promote_frac,shin_flow_hit_1e3,shin_bg_clusters_1e3,shin_promote_frac,gammex_across_tpr_1e3,gammex_across_promote_frac,c_flow,active_bundles,inert_bundles,median_p_shrink,bg_tail_rate_post_1e3,bg_tail_clusters_post_1e3,flow_hit_rate_post_1e3,max_protected_abs_delta
0.13083545207977298,0.9,0.8688965782391388,0.0,0.9104190695886197,0.0,0.0277368706406424,8.0,0.05966386554621849,0.18368479467258603,0.9379092702169626,,,,,,,,
0.1453727245330811,1.0,0.8688965782391388,0.0,0.9104190695886197,0.0,0.0277368706406424,8.0,0.03783128636069812,0.14983351831298558,0.9139250493096647,,,,,,,,
0.15990999698638922,1.1,0.8688965782391388,0.0,0.9104190695886197,0.0,0.0277368706406424,8.0,0.021687136393018745,0.15871254162042175,0.8735305719921105,,,,,,,,
,0.9,,,,,,,,,,0.18000000000000002,50,0,0.09713314122823324,0.0009551108211739059,927.0,0.0008912506095817849,0.0
,1.0,,,,,,,,,,0.2,50,0,0.09697120735423638,0.0009551108211739059,927.0,0.0008912506095817849,0.0
,1.1,,,,,,,,,,0.22000000000000003,50,0,0.09697983980188059,0.0009551108211739059,927.0,0.0008912506095817849,0.0
