profile,method,pd_headline_label,vnext_headline_label,pd_score_file,vnext_score_file,pd_auc_main_vs_bg,vnext_auc_main_vs_bg,delta_auc_main_vs_bg,pd_auc_main_vs_nuisance,vnext_auc_main_vs_nuisance,delta_auc_main_vs_nuisance,pd_fpr_nuisance_match@0p5,vnext_fpr_nuisance_match@0p5,delta_fpr_nuisance_match@0p5
ClinIntraOp-Pf-Struct-v2,baseline_mc_svd,MC-SVD,MC-SVD (Baseline score),score_pd_base.npy,score_base.npy,0.9823596791329637,0.9823596791329637,0.0,0.6176299174356483,0.6176299174356483,0.0,0.2482758620689655,0.2482758620689655,0.0
ClinIntraOp-Pf-Struct-v2,stap,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.9808108432542234,0.9425679652100438,-0.038242878044179585,0.8272624251254654,1.0,0.17273757487453456,0.013793103448275862,0.0,-0.013793103448275862
ClinIntraOp-Pf-v1,baseline_mc_svd,MC-SVD,MC-SVD (Baseline score),score_pd_base.npy,score_base.npy,0.5903763663390493,0.5903763663390493,0.0,0.03568075117370892,0.03568075117370892,0.0,1.0,1.0,0.0
ClinIntraOp-Pf-v1,stap,MC-SVD -> STAP,MC-SVD -> STAP (STAP detector),score_pd_stap.npy,score_stap_preka.npy,0.3640004006550788,0.46022475268902696,0.09622435203394814,0.03329286061194755,0.34398575360207223,0.3106928929901247,1.0,0.7137931034482758,-0.28620689655172415
